X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-14992880.0850074,7608345.41353765,1942,19390,19080,PORT CONCLUSION,US,56.25,-134.683333,56,15,N,134,41,W,CP08,17331,V,CN,G,N,N,N, , , ,O,M, ,9, ,N, , , , , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1157722.70425005,8314883.02751359,1943,23770,20620,SVELVIK,NO,59.616667,10.4,59,37,N,10,24,E,193,43371,V,CN,G,N,N,N,Y,Y,K,M,O, ,0, , , , ,N,Y,N,Y, , , ,Y, ,Y, , ,Y,Y,Y,Y,Y,Y,Y, ,Y, , , , ,N, ,Y, , , , , ,Y, , , , , ,Y,Y, , , ,C, ,S
-13796195.5589797,6303188.70234715,1944,18520,18080,NANAIMO,CA,49.166667,-123.933333,49,10,N,123,56,W,154,17499,S,CN,G,N,N,N,Y,N,E,A,J,H,5, ,Y, ,Y,N,Y,Y,Y, ,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y,Y,Y, , ,Y,Y, ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C, ,S
-14989169.4353143,7608345.41353765,1945,19400,19080,PORT ALEXANDER,US,56.25,-134.65,56,15,N,134,39,W,CP08,17331,V,CN,G,N,N,N, , ,O,H,O,O,9, , , , , , , ,Y, , , , , , , , , , ,Y, , ,Y,Y, , , , , , , , , , , , , , , , , , , ,Y,Y, , , , ,C, , 
-13786918.9347469,6297515.62802731,1946,18525,18080,HARMAC,CA,49.133333,-123.85,49,8,N,123,51,W,154,18402,V,CN,F,Y,N,N,Y,Y, ,M,H,K,10,L, , ,N,N,N, ,Y, , , , , , , ,Y, , ,Y, ,Y,Y, , , , , , , ,N, , , , , , , ,Y,Y, , , , ,Y, , , , , , , 
-15065237.754023,7770345.1127669,1947,19410,19080,SITKA,US,57.05,-135.333333,57,3,N,135,20,W,CP08,17327,S,CN,G,N,Y,N,Y, ,L,A,J, ,8, ,Y, ,Y,N,Y,Y,Y, , , ,Y,Y, , ,Y,Y,Y,Y,Y, ,Y,Y, , , ,Y,Y, ,N, , , , , , , ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C, ,S
1141024.78063105,8340605.30637586,1948,23780,20620,DRAMMEN,NO,59.733333,10.25,59,44,N,10,15,E,193,43378,M,CB,G,N,N,Y,Y,Y,K,B,M,L,0,L,Y, ,Y,N,Y,N,Y, ,Y, ,Y,Y, , ,Y, ,Y,Y,Y,Y,Y,Y,Y, , ,Y,Y, ,Y, ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , ,B, ,L
-15152438.0218111,7901087.88556283,1949,19430,19080,KIMSHAN COVE,US,57.683333,-136.116667,57,41,N,136,7,W,CP08,17322,V,CN,G,N,N,N, , ,J,J,P, ,8, ,Y, , , , , ,Y, , , , , , , , , , , , , ,Y,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1179986.6024087,8359033.36551918,1950,23790,20620,STORSTEILENE,NO,59.816667,10.6,59,49,N,10,36,E,193,43374,V,CN,G,N,N,N,Y, , ,A, ,H,0, ,Y, , , ,Y,N,N, ,Y, ,Y, , , , , ,Y, , , ,Y,Y, , , , , , ,N, , , , , , , , , , , , ,Y,Y, , , , , , , 
-13772076.3359745,6263557.01680918,1951,18560,18080,CHEMAINUS,CA,48.933333,-123.716667,48,56,N,123,43,W,154,18413,V,CN,F, , , , , ,K,B,F, ,2,L,N,Y,Y,N,Y,Y,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y,Y,Y,Y,Y, , , , ,Y, , ,N,Y, , , , , ,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,C, , 
